station_id,name,province,lat,lon,dataset_version,zip_member
1030426,AMPHITRITE POINT,BC,48.92111306,-125.5411119,v3.20,IDF_v-3.20_2021_03_26_BC/idf_v-3.20_2021_03_26_103_BC_1030426_AMPHITRITE_POINT.txt
1031413,CARNATION CREEK CDF,BC,48.9,-125.0,v3.20,IDF_v-3.20_2021_03_26_BC/idf_v-3.20_2021_03_26_103_BC_1031413_CARNATION_CREEK_CDF.txt
1032731,ESTEVAN POINT CS,BC,49.38330944,-126.5431092,v3.20,IDF_v-3.20_2021_03_26_BC/idf_v-3.20_2021_03_26_103_BC_1032731_ESTEVAN_POINT_CS.txt
1036B06,PORT ALBERNI (AUT),BC,49.31658333,-124.9268333,v3.20,IDF_v-3.20_2021_03_26_BC/idf_v-3.20_2021_03_26_103_BC_1036B06_PORT_ALBERNI_(AUT).txt
1038205,TOFINO A,BC,49.08222222,-125.7725056,v3.20,IDF_v-3.20_2021_03_26_BC/idf_v-3.20_2021_03_26_103_BC_1038205_TOFINO_A.txt
1041710,CLOWHOM FALLS,BC,49.71666667,-123.5333333,v3.20,IDF_v-3.20_2021_03_26_BC/idf_v-3.20_2021_03_26_104_BC_1041710_CLOWHOM_FALLS.txt
1042255,DAISY LAKE DAM,BC,49.98333333,-123.1333333,v3.20,IDF_v-3.20_2021_03_26_BC/idf_v-3.20_2021_03_26_104_BC_1042255_DAISY_LAKE_DAM.txt
1045100,MERRY ISLAND LIGHTSTATION,BC,49.46750833,-123.9125111,v3.20,IDF_v-3.20_2021_03_26_BC/idf_v-3.20_2021_03_26_104_BC_1045100_MERRY_ISLAND_LIGHTSTATION.txt
10459NN,HOWE SOUND - PAM ROCKS,BC,49.48778028,-123.2994528,v3.20,IDF_v-3.20_2021_03_26_BC/idf_v-3.20_2021_03_26_104_BC_10459NN_HOWE_SOUND_-_PAM_ROCKS.txt
1046332,PORT MELLON,BC,49.52630556,-123.49625,v3.20,IDF_v-3.20_2021_03_26_BC/idf_v-3.20_2021_03_26_104_BC_1046332_PORT_MELLON.txt
1046392,POWELL RIVER,BC,49.83455556,-124.4968056,v3.20,IDF_v-3.20_2021_03_26_BC/idf_v-3.20_2021_03_26_104_BC_1046392_POWELL_RIVER.txt
1047172,SECHELT AUT,BC,49.45799667,-123.7152625,v3.20,IDF_v-3.20_2021_03_26_BC/idf_v-3.20_2021_03_26_104_BC_1047172_SECHELT_AUT.txt
10476F0,SQUAMISH AIRPORT,BC,49.78320833,-123.1611944,v3.20,IDF_v-3.20_2021_03_26_BC/idf_v-3.20_2021_03_26_104_BC_10476F0_SQUAMISH_AIRPORT.txt
1051351,CAPE ST JAMES,BC,51.93583333,-131.0158333,v3.20,IDF_v-3.20_2021_03_26_BC/idf_v-3.20_2021_03_26_105_BC_1051351_CAPE_ST_JAMES.txt
1054500,LANGARA,BC,54.25518,-133.0579997,v3.20,IDF_v-3.20_2021_03_26_BC/idf_v-3.20_2021_03_26_105_BC_1054500_LANGARA.txt
10551R8,MORESBY ISLAND MITCHELL INLET,BC,52.93472222,-132.1288889,v3.20,IDF_v-3.20_2021_03_26_BC/idf_v-3.20_2021_03_26_105_BC_10551R8_MORESBY_ISLAND_MITCHELL_INLET.txt
1057050,SANDSPIT A,BC,53.25388889,-131.8130556,v3.20,IDF_v-3.20_2021_03_26_BC/idf_v-3.20_2021_03_26_105_BC_1057050_SANDSPIT_A.txt
